Sheet	name	type	mandatory	Multiple	valid_values	valid_units	valid_terms	valid_libraries	example	description	comment
animal	breed	limited values	mandatory	no					Bunte Bentheimer	"The breed of the animal, the value of which matches to the breed origin column in the breed sheet"	must be in the breed origin column in the breed sheet. the species of the animal can be retrieved from breed
animal	birth date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1990-07-17	The date when the animal was born	"Fill in the date as accurate as possible, at least fill in the year"
animal	birth status	text	optional	no					full-term parturition with normal autonomous delivery	"The status of the birth, could include delivery timing, delivery method etc"	
animal	sex	ontology_id	mandatory	no			"""PATO:0000384"",""PATO:0000383"""		PATO:0000384 (male)		could split into two columns
animal	submission date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			2014-01-30		
animal	farm latitude	double	recommended	no		decimal degrees			47.86591	latitude of the place where the animal lives in decimal degrees	
animal	farm longitude	double	recommended	no		decimal degrees			12.19115	longitude of the place where the animal lives in decimal degrees	
animal	farm place	text	mandatory	no					Berlin Germany	"name of the place where the animal lives, town/city could be optional, country must be there"	
animal	birth place	text	optional	no					Germany	name of the place where the animal was given birth	
animal	animal photo	uri	optional	yes						the photos of the animal which could help the researcher identify the animal	
											
sample	study id	limited value	mandatory	no					example IMAGE study	must be one of the values used in the study id column in the study sheet	
sample	BioSample id	limited value	mandatory	no	SAMEAXXXXXXX				SAMEA4450075	The BioSample id of the sample	"The BioSample ID could be empty before submitting BioSample. After the submission, the returned BioSample ID MUST be filled"
sample	source sample id	limited value	mandatory	no					Siems_0722_393449		
sample	source name	text	mandatory	no					"""CyroWEB DE"", ""French system"" "	the name of the source of genebank	
sample	source version	date	mandatory	no		YYYY-MM			2017-04		"Record at the month level, if no month available, recorded as Jan of the year"
sample	animal BioSample id	limited value	mandatory	no						The BioSample id of the animal where the sample was collected from	
sample	animal source id	text	mandatory	no					ANIMAL:::ID:::132713		
sample	sample name	text	mandatory	no					OAR_RI_AF1_AA		
sample	description	text	recommended	no					Chianina		
sample	material	ontology_id	mandatory	no	"""specimen from organism"",""cell specimen"",""pool of specimens"",""cell culture"",""cell line"""		"OBI_0001479,OBI_0001468,OBI_0302716,OBI_0001876,CLO_0000031"		OBI_0001479 (specimen from organism)		
sample	protocol	uri	mandatory	no					ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/WUR_SOP_animal_sampling_20160405.pdf	A link to the protocol used to collect this sample	
sample	contact	uri	recommended	yes						Email address or website which can be used to obtain the samples. Use the contact details of the registrant.	
sample	collection date	date	mandatory	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1992-01-17	Date when the sample was collected	
sample	collection place latitude	double	recommended	no		decimal degrees			47.86591		
sample	collection place longitude	double	recommended	no		decimal degrees			12.19115		
sample	collection place	text	mandatory	no					Germany		
#sample	collection condition	text	optional	no					10ml blood from leg was collected	"the description of the condition of the sample collection, could include but not limit to the amount"	
sample	storage date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1992-01-17		
sample	submission date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			1992-01-18		
sample	organism part	ontology_id	mandatory	no			"UBERON_0001062(include descendants), BTO_0000042(include descendants)"			"Ontology for part of organism specimen from, UBERON is preferred to BTO"	"is this same as tissue? Ontology for part of organism specimen from, UBERON is preferred to BTO"
sample	developmental stage	ontology_id	recommended	no			descendants of EFO_0000399			"developmental stage, any child term of EFO_0000399"	
sample	health status at collection	ontology_id	recommended	yes			"PATO_0000461, descendants of EFO_0000408"		PATO_0000461 (normal)	"animal disease / health status at point of collection. Healthy animals should have the term normal, otherwise use the as many disease terms as necessary from EFO"	
#sample	sanitary status										
#sample	tissue										
