Rulegroup	Name	Type	Required	Allow Multiple	Valid values	Valid units	Valid terms	Example	Description
specimen from organism	Derived from	text	mandatory	no				SAMEA4450079	The Alternative animal ID (whose record must also be present as part of the subission) or BioSamples ID (if sample has been previously submitted) of the animal from which sample specimen was collected
specimen from organism	Sample name	text	mandatory	no				OAR_RI_AF1_AA	the name of the sample given by the submitter
specimen from organism	Specimen collection protocol	uri	recommended	no				ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/WUR_SOP_animal_sampling_20160405.pdf	A URL link to the protocol used to collect this sample
specimen from organism	Collection date	date	mandatory	no		"YYYY-MM-DD, YYYY-MM, YYYY"		17/01/1992	Date when the sample was collected
specimen from organism	Collection place latitude	number	recommended	no		decimal degrees		47.86591	latitude of the place where the sample was collected
specimen from organism	Collection place longitude	number	recommended	no		decimal degrees		12.19115	longitude of the place where the sample was collected
specimen from organism	Collection place	text	mandatory	no				Germany	name of the place where the sample was collected
specimen from organism	Organism part	ontology_id	mandatory	no			descendants of UBERON_0001062	UBERON_0001968 (semen)	Ontology for organism part where the specimen was taken from
specimen from organism	Developmental stage	ontology_id	recommended	no			descendants of EFO_0000399	EFO_0001272 (adult)	developmental stage of the animal from which the specimen is collected
specimen from organism	Physiological stage	ontology_id	recommended	no			descendants of PATO_0000261	PATO_0001701 (mature)	physiological stage of the animal from which the specimen is collected
specimen from organism	Animal age at collection	number	optional	no				3 years	Animal age at the point of collection.
specimen from organism	Availability	uri_value	recommended	no				mailto:vdc-internal@ebi.ac.uk	"Either an e-mail address to contact about availability or a link to a web page giving information on who to contact. E-mail addresses should be prefixed with 'mailto:', e.g. 'mailto:samples@example.ac.uk'. In either case, long term support of the web page or e-mail address is necessary. Group e-mail addresses are preferable to indiviudal accounts."
specimen from organism	Sample storage	text	recommended	no	"""ambient temperature"",""cut slide"",""frozen, -80 degrees Celsius freezer"",""frozen, -20 degrees Celsius freezer"",""frozen, liquid nitrogen"",""frozen, vapor phase"",""paraffin block"",""RNAlater, frozen -20 degrees Celsius"",""TRIzol, frozen"",""paraffin block at ambient temperatures (+15 to +30 degrees Celsius)"",""freeze dried"""				"How the sample was stored. Temperatures are in degree Celsius. 'Frozen, vapor phase' refers to storing samples above liquid nitrogen in the vapor"
specimen from organism	Sample storage processing	text	recommended	no	"""cryopreservation in liquid nitrogen (dead tissue)"",""cryopreservation in dry ice (dead tissue)"",""cryopreservation of live cells in liquid nitrogen"",""cryopreservation, other"",""formalin fixed, unbuffered"",""formalin fixed, buffered"",""formalin fixed and paraffin embedded"",""freeze dried (vaiable for reproduction)"",""freeze dried"""				How the sample was prepared for storage
specimen from organism	Sampling to preparation interval	number	optional	no		"""minutes"",""hours"",""days"",""weeks"",""months"",""years"",""minute"",""hour"",""day"",""week"",""month"",""year"""			"How long between the sample being taken and the assay experiment preperations commencing. If sample preperations were then left in intermediate stages after preperation commenced, for example as sheared chromatin, then this should be made clear in your protocols"
