Sheet	name	type	mandatory	Multiple	valid_values	valid_units	valid_terms	valid_libraries	example	description
animal	Breed	limited values	mandatory	no					Bunte Bentheimer	"The breed of the animal, the value of which matches to the breed origin column in the breed sheet"
animal	Birth date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			17/07/1990	The date when the animal was born
animal	Birth status	text	optional	no					full-term parturition with normal autonomous delivery	"The status of the birth, could include delivery timing, delivery method etc"
animal	Sex	ontology_id	mandatory	no			"""PATO:0000384"",""PATO:0000383"""		PATO:0000384 (male)	
animal	Submission date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			30/01/2014	
animal	Birth place	text	optional	no					Germany	name of the place where the animal was given birth
animal	Animal photo	uri	optional	yes						the photos of the animal which could help the researcher identify the animal
										
sample	Study id	limited value	mandatory	no					example IMAGE study	must be one of the values used in the study id column in the study sheet
sample	BioSample id	limited value	mandatory	no	SAMEAXXXXXXX				SAMEA4450075	The BioSample id of the sample
sample	Sample id in data source	limited value	mandatory	no					Siems_0722_393449	
sample	Data source name	text	mandatory	no					"""CyroWEB DE"", ""French system"""	the name of the source of genebank
sample	Data source version	date	mandatory	no		YYYY-MM			2017-04	
sample	Animal BioSample id	limited value	mandatory	no						The BioSample id of the animal where the sample was collected from
sample	Animal id in data source	text	mandatory	no					ANIMAL:::ID:::132713	
sample	Sample name	text	mandatory	no					OAR_RI_AF1_AA	
sample	Description	text	recommended	no					Chianina	
sample	Type	ontology_id	mandatory	no	specimen from organism		OBI_0001479		OBI_0001479 (specimen from organism)	fixed value to indicate this record is a sample
sample	Protocol	uri	mandatory	no					ftp://ftp.faang.ebi.ac.uk/ftp/protocols/samples/WUR_SOP_animal_sampling_20160405.pdf	A link to the protocol used to collect this sample
sample	Contact	uri	recommended	yes						Email address or website which can be used to obtain the samples. Use the contact details of the registrant.
sample	Collection date	date	mandatory	no		"YYYY-MM-DD, YYYY-MM, YYYY"			17/01/1992	Date when the sample was collected
sample	Collection place latitude	double	recommended	no		decimal degrees			47.86591	
sample	Collection place longitude	double	recommended	no		decimal degrees			12.19115	
sample	Collection place	text	mandatory	no					Germany	
sample	Storage date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			17/01/1992	
sample	Submission date	date	recommended	no		"YYYY-MM-DD, YYYY-MM, YYYY"			18/01/1992	
sample	Organism part	ontology_id	mandatory	no			"UBERON_0001062(include descendants), BTO_0000042(include descendants)"		UBERON_0001968 (semen)	"Ontology for part of organism specimen from, UBERON is preferred to BTO"
sample	Developmental stage	ontology_id	recommended	no			descendants of EFO_0000399		EFO_0001272 (Adult)	"developmental stage, any child term of EFO_0000399"
sample	Health status at collection	ontology_id	recommended	yes			"PATO_0000461, descendants of EFO_0000408"		PATO_0000461 (normal)	"animal disease / health status at point of collection. Healthy animals should have the term normal, otherwise use the as many disease terms as necessary from EFO"
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
										
